Watershed,Hname,Hectares,Acres,Date,Type,Year,Code,Comments
1B,1B,7.97,19.69,1980/4/29,PP,1980,001B,north portion
20C,UC,4.78,11.81,1980/4/29,WU,1980,020C,
R20B,1C,12.315,30.431,1980/4/29,PP,1980,001C,
SuA,10C,2.57,6.351,1980/4/29,WU,1980,010C,
SuA,3U3BC,11.8,29.17,1980/4/29,WU,1980,033C,
R1A,UA,8.039,19.865,1980/4/30,WU,1980,020A,
R20A,1A,26.332,65.068,1980/4/30,PP,1980,001A,
WB,4G,12.33,30.46,1980/5/1,PP,1980,004G,
4A,4A,18.84,46.56,1980/5/3,PP,1980,004A,
N4A,N4A,4,11,1980/5/3,WU,1980,N04A,
R1A,3B3UA,29.124,71.966,1980/5/3,PP,1980,033A,
1B,1B,12.01,29.69,1981/4/23,PP,1981,001B,
R20A,1A,26.332,65.068,1981/4/25,PP,1981,001A,
SpA,10A,24.537,60.631,1981/4/25,PP,1981,010A,
SpA,4C,8.818,21.791,1981/4/25,PP,1981,004C,
2A,2A,27.96,69.1,1981/4/25,PP,1981,002A,
SuA,10C,11.8,29.17,1981/4/28,PP,1981,010C,
SuA,3U3BC,11.8,29.17,1981/4/28,PP,1981,033C,
WA,3U3BB,11.623,28.72,1981/4/28,PP,1981,033B,
R20B,1C,12.315,30.431,1981/4/28,PP,1981,001C,
1D,1D,41.55,102.67,1981/4/28,PP,1981,001D,
4F,4F,16.37,40.44,1981/4/28,PP,1981,004F,
2C,2C,22.95,56.72,1981/4/28,PP,1981,002C,
2D,2D,48.41,119.62,1982/4/21,PP,1982,002D,
1D,1D,41.55,102.67,1982/4/21,PP,1982,001D,
2B,2B,6.08,15.02,1982/4/21,PP,1982,002B,
R1B,4H,3.377,8.345,1982/4/21,PP,1982,004H,
SuA,3U3BC,11.8,29.17,1982/4/21,PP,1982,033C,
1B,1B,12.01,29.69,1982/4/22,PP,1982,001B,
R20B,1C,12.315,30.431,1982/4/22,PP,1982,001C,
Nature Trail,unassigned ,54.727,135.234,1982/4/22,PP,1982,N/A,
SpB,4D,20.366,50.325,1982/4/22,PP,1982,004D,
WA,3U3BB,11.623,28.72,1982/4/22,PP,1982,033B,
R20A,1A,26.332,65.068,1982/4/22,PP,1982,001A,
