Watershed,Hname,Hectares,Acres,Date,Type,Year,Code,Comments
Nature Trail,Nature Trail,93.37,230.722,2002/5/2,PP,2002,NATR,
SpA,4C,8.818,21.79,2002/5/2,PP,2002,0SpA,
1B,1B/WA,35.89,88.69,2002/5/3,PP,2002,001B,
2B,2B,6.08,15.02,2002/5/3,PP,2002,002B,
2A,2A,27.96,69.1,2002/5/3,PP,2002,002A,
FB,FB,11.18,27.626,2002/12/10,PP,2002,00FB,
FA,FA,11.09,27.404,2002/12/10,PP,2002,00FA,
WB,WB,12.33,30.46,2003/2/17,PP,2003,00WB,
WA,WA,11.62,28.72,2003/2/17,PP,2003,00WA,
K1B,K1B,105.138,259.801,2003/3/25,PP,2003,K01B,
AL,AL,25.387,62.73,2003/3/31,PP,2003,0ALB,
HQB,HQB,14.92,36.868,2003/3/31,PP,2003,0HQB,
N1B,N1B,120.683,298.214,2003/4/9,PP,2003,N01B,
N2B,N2B,118.781,293.514,2003/4/9,PP,2003,N02B,
1D,1D,41.55,102.67,2003/4/10,PP,2003,001D,
2D,2D,48.41,119.62,2003/4/10,PP,2003,002D,
1B,1B/WA,35.89,88.69,2003/4/11,PP,2003,001B,
4B,4B,54.5,134.67,2003/4/11,PP,2003,004B,
SpA,4C,8.818,21.79,2003/4/12,PP,2003,0SpA,
C1SB,Texas Hog Pasture,69.81,172.51,2003/4/12,PP,2003,TXHP,
HQB,HQB,14.92,36.868,2003/4/17,PP,2003,0HQB,
HQA,HQA,12.28,30.344,2003/4/17,PP,2003,0HQA,
N1A,N1A,60.03,148.322,2003/4/19,PP,2003,N01ASW,
N1A,N1A,33.83,83.596,2003/4/21,PP,2003,N01ANE,
HQ Restoration Plots,Restoration Plots,2.424,5.991,2003/4/21,PP,2003,0HQR,
Belowground Plots,Belowground Plots,1.45,3.58,2003/4/21,PP,2003,LTERBG,
C1A,C4D,93.78,231.73,2003/4/22,PP,2003,C04D,
C3C,C1B,21.55,53.251,2003/4/22,PP,2003,C01B,
C3C,C1C,81.291,200.874,2003/4/22,PP,2003,C01C,
C3B,C1B,63.817,157.695,2003/4/22,PP,2003,C01B,
C3B,C4A,2.902,7.17,2003/4/22,PP,2003,C04A,
C3SB,SB,226.265,559.112,2003/4/22,PP,2003,S00B,
C3SC,SC,127.02,313.873,2003/4/22,PP,2003,S00C,
C3A,C4A,48.728,120.41,2003/4/22,PP,2003,C04A,
C3SA,SA,102.076,252.235,2003/4/22,PP,2003,S00A,
White Pasture,White Pasture,166.82,412.22,2003/4/28,PP,2003,WHIT,
R1B,20D,36.42,89.996,2003/4/29,PP,2003,R01B,
2C,2C,22.95,56.72,2003/4/29,PP,2003,002C,
SpB,4D/WB,35.74,88.31,2003/5/5,PP,2003,0SpB,
K1A,K1A,113.89,281.428,2003/5/7,PP,2003,K01A,
HQC,HQC,17.483,43.201,2003/5/7,PP,2003,0HQC,
R1A,20A/3B3UA,48.66,120.241,2003/5/12,PP,2003,R01A,
SuB,SuB,15.63,38.62,2003/7/24,PP,2003,0SuB,
SuA,10C/3U3BC,22.86,56.49,2003/7/24,PP,2003,0SuA,
FA,FA,11.089,27.401,2004/2/26,PP,2004,00FA,
FB,FB,11.181,27.629,2004/2/26,PP,2004,00FB,
WA,WA,11.62,28.72,2004/2/26,PP,2004,00WA,
WB,WB,12.33,30.46,2004/2/26,PP,2004,00WB,
N1A,N1A,33.83,83.596,2004/3/9,PP,2004,N01ANE,
HQA,HQA,12.28,30.344,2004/3/12,PP,2004,0HQA,
N1A,N1A,60.03,148.322,2004/3/12,PP,2004,N01ASW,
Nature Trail,Nature Trail,93.37,230.722,2004/3/18,PP,2004,NATR,
HQC,HQC,17.483,43.201,2004/3/26,PP,2004,0HQC,
Belowground Plots,Belowground Plots,1.45,3.58,2004/3/26,PP,2004,LTERBG,
N1B,N1B,120.683,298.214,2004/3/31,PP,2004,N01B,
C3SA,SA,102.076,252.235,2004/4/1,PP,2004,S00A,
C3A,C4A,48.728,120.41,2004/4/1,PP,2004,C04A,
C3SC,SC,127.02,313.873,2004/4/1,PP,2004,S00C,
C3SB,SB,226.265,559.112,2004/4/1,PP,2004,S00B,
C3B,C1B,63.817,157.695,2004/4/1,PP,2004,C01B,
C3B,C4A,2.902,7.17,2004/4/1,PP,2004,C04A,
C3C,C1B,21.55,53.251,2004/4/1,PP,2004,C01B,
C3C,C1C,81.291,200.874,2004/4/1,PP,2004,C01C,
C1A,C4D,93.78,231.73,2004/4/1,PP,2004,C04D,
2D,2D,48.41,119.62,2004/4/1,WU,2004,002D,
1D,1D,41.55,102.67,2004/4/1,PP,2004,001D,
R1B,20D,36.42,89.996,2004/4/1,PP,2004,R01B,
R1B,4H,3.38,8.352,2004/4/1,WU,2004,004H,
White Pasture,White Pasture,166.82,412.22,2004/4/2,PP,2004,WHIT,
HQD,HQC,28.25,69.807,2004/4/6,PP,2004,0HQC,
N4A,N4A,99.196,245.118,2004/4/6,PP,2004,N04A,
N2A,N2A,101.215,250.107,2004/4/6,PP,2004,N02A,
K1A,K1A,113.89,281.428,2004/4/13,PP,2004,K01A,
4F,4F,16.37,40.44,2004/4/13,PP,2004,004F,
K2A,K2A,66.1,163.336,2004/4/13,PP,2004,K02A,
K1B,K1B,105.138,259.801,2004/4/13,PP,2004,K01B,
K1B,K4B,76.118,188.092,2004/4/13,PP,2004,K04B,
SpB,4D/WB,35.74,88.31,2004/4/13,PP,2004,0SpB,
2B,2B,6.08,15.02,2004/4/27,PP,2004,002B,
R1A,20A/3B3UA,48.66,120.241,2004/4/27,PP,2004,R01A,
SpA,4C,8.818,21.79,2004/4/27,PP,2004,0SpA,
1B,1B/WA,35.89,88.69,2004/5/4,PP,2004,001B,
2A,2A,27.96,69.1,2004/5/4,PP,2004,002A,
FB,FB,11.18,27.626,2004/12/8,PP,2004,00FB,
WB,WB,12.33,30.46,2005/2/4,PP,2005,00WB,
WA,WA,11.62,28.72,2005/2/4,PP,2005,00WA,
HQB,HQB,14.919,36.866,2005/3/15,PP,2005,0HQB,
HQA,HQA,12.28,30.344,2005/3/15,PP,2005,0HQA,
HQC,HQC,17.483,43.201,2005/3/16,PP,2005,0HQC,
Belowground Plots,Belowground Plots,1.45,3.58,2005/3/17,PP,2005,LTERBG,
C3C,C1B,21.55,53.251,2005/3/23,PP,2005,C01B,
C3C,C1C,81.291,200.874,2005/3/23,PP,2005,C01C,
C3B,C1B,63.69,157.381,2005/3/23,PP,2005,C01B,
K1A,K1A,113.89,281.428,2005/3/31,PP,2005,K01A,
N1A,N1A,60.03,148.322,2005/4/8,PP,2005,N01ASW,
N1B,N1B,120.683,298.214,2005/4/8,PP,2005,N01B,
N4D,N4D,135.45,334.704,2005/4/8,PP,2005,N04D,
N2B,N2B,118.781,293.514,2005/4/8,PP,2005,N02B,
K1B,K1B,105.138,259.801,2005/4/13,PP,2005,K01B,
N1A,N1A,33.83,83.596,2005/4/14,PP,2005,N01ANE,
K4A,K4A,53.161,131.363,2005/4/14,PP,2005,K04A,
N4B,N4B,56.775,140.293,2005/4/14,PP,2005,N04B,
2C,2C,22.95,56.72,2005/4/14,PP,2005,002C,
SpB,4D/WB,35.74,88.31,2005/4/15,PP,2005,0SpB,
SpA,4C,8.818,21.79,2005/4/15,PP,2005,0SpA,
1B,1B/WA,35.89,88.69,2005/4/15,PP,2005,001B,
4B,4B,54.5,134.67,2005/4/15,PP,2005,004B,
Nature Trail,Nature Trail,41.22,101.857,2005/4/16,WU,2005,NATR,
C1A,Pasture 8,5.1,12.6,2005/4/16,PP,2005,PAST,
C1SB,Texas Hog Pasture,69.81,172.51,2005/4/16,PP,2005,TXHP,
R1B,4H,3.377,8.345,2005/4/20,PP,2005,004H,
R1B,20D,36.42,89.996,2005/4/20,PP,2005,R01B,
R1A,20A/3B3UA,48.66,120.241,2005/4/20,PP,2005,R01A,
1D,1D,41.55,102.67,2005/4/20,PP,2005,001D,
2D,2D,48.41,119.62,2005/4/20,PP,2005,002D,
SuB,SuB,15.63,38.62,2005/7/29,PP,2005,0SuB,
SuA,10C/3U3BC,22.86,56.49,2005/7/29,PP,2005,0SuA,
FB,FB,11.181,27.629,2005/11/22,PP,2005,00FB,
FA,FA,11.09,27.404,2005/11/22,PP,2005,00FA,
WA,WA,11.62,28.72,2006/2/21,PP,2006,00WA,
WB,WB,12.33,30.46,2006/2/21,PP,2006,00WB,
K1A,K1A,113.89,281.428,2006/3/9,PP,2006,K01A,
HQA,HQA,12.28,30.344,2006/3/14,PP,2006,0HQA,
HQB,HQB,14.92,36.868,2006/3/14,PP,2006,0HQB,
C3SA,SA,102.08,252.245,2006/3/17,PP,2006,S00A,
C3A,C4A,48.728,120.41,2006/3/17,PP,2006,C04A,
C3SB,SB,226.265,559.112,2006/3/17,PP,2006,S00B,
C3SC,SC,127.02,313.873,2006/3/17,PP,2006,S00C,
C3B,C1B,63.69,157.381,2006/3/17,PP,2006,C01B,
C3B,C4A,2.902,7.17,2006/3/17,PP,2006,C04A,
C3C,C1B,21.815,53.906,2006/3/17,PP,2006,C01B,
C3C,C1C,81,200.155,2006/3/17,PP,2006,C01C,
C1A,C4D,93.78,231.73,2006/3/17,PP,2006,C04D,
Belowground Plots,Belowground Plots,1.45,3.58,2006/3/23,PP,2006,LTERBG,
Nature Trail,Nature Trail,101.3,250.317,2006/4/3,PP,2006,NATR,
HQC,HQC,17.483,43.201,2006/4/4,PP,2006,0HQC,
N1B,N1B,120.68,298.206,2006/4/4,PP,2006,N01B,
R1B,20D/4H,39.797,98.34,2006/4/12,PP,2006,R01B,
K1B,K1B,105.138,259.801,2006/4/12,PP,2006,K01B,
C1SB,Texas Hog Pasture,69.81,172.51,2006/4/17,PP,2006,TXHP,
White Pasture,White Pasture,166.82,412.22,2006/4/17,PP,2006,WHIT,
HQD,HQD,28.25,69.807,2006/4/20,PP,2006,0HQD,
N4C,N4C,77.842,192.351,2006/4/20,PP,2006,N04C,
N2A,N2A,101.215,250.107,2006/4/20,PP,2006,N02A,
K2A,K2A,66.1,163.336,2006/4/21,PP,2006,K02A,
4A,4A,18.84,46.56,2006/4/27,PP,2006,004A,
1D,1D ,41.55,102.67,2006/4/27,PP,2006,001D,
2B,10B,8.21,20.29,2006/4/27,PP,2006,010B,
2B,2B,6.08,15.02,2006/4/27,PP,2006,002B,
R1A,20A/3B3UA,48.66,120.241,2006/4/27,PP,2006,R01A,
N1A,N1A,60.03,148.322,2006/4/27,PP,2006,N01ASW,
SpA,4C,8.82,21.795,2006/4/27,PP,2006,0SpA,
SpB,4D/WB,35.74,88.31,2006/4/27,PP,2006,0SpB,
N1A,N1A,33.83,83.596,2006/5/5,PP,2006,N01ANE,
1B,1B/WA,35.89,88.69,2006/5/8,PP,2006,001B,
2A,2A,27.96,69.1,2006/5/8,PP,2006,002A,
FA,FA,11.09,27.404,2006/11/20,PP,2006,00FA,
FB,FB,11.18,27.626,2006/11/20,PP,2006,00FB,
WB,WB,12.33,30.46,2007/2/22,PP,2007,00WB,
WA,WA,11.62,28.72,2007/2/22,PP,2007,00WA,
HQ Restoration Plots,Restoration Plots,2.424,5.991,2007/3/6,PP,2007,0HQR,
HQB,HQB,14.92,36.868,2007/3/6,PP,2007,0HQB,
HQA,HQA,12.28,30.344,2007/3/6,PP,2007,0HQA,
K1A,K1A,113.89,281.428,2007/3/7,PP,2007,K01A,
HQC,HQC,17.483,43.201,2007/3/8,PP,2007,0HQC,
Belowground Plots,Belowground Plots,1.45,3.58,2007/3/12,PP,2007,LTERBG,
Cottage Hill,Cottage Hill,.,.,2007/3/17,PP,2007,CTHL,
C1A,C4D,93.78,231.73,2007/3/22,PP,2007,C04D,
C3C,C1B,21.815,53.906,2007/3/22,PP,2007,C01B,
C3C,C1C,81,200.155,2007/3/22,PP,2007,C01C,
C3B,C1B,63.69,157.381,2007/3/22,PP,2007,C01B,
C3B,C4A,2.902,7.17,2007/3/22,PP,2007,C04A,
C3SC,SC,127.02,313.873,2007/3/22,PP,2007,S00C,
C3SB,SB,226.265,559.112,2007/3/22,PP,2007,S00B,
C3A,C4A,48.728,120.41,2007/3/22,PP,2007,C04A,
C3SA,SA,102.08,252.245,2007/3/22,PP,2007,S00A,
N1A,N1A,60.03,148.322,2007/3/23,PP,2007,N01ASW,
N1A,N1A,33.83,83.596,2007/4/4,PP,2007,N01ANE,
K1B,K1B,105.138,259.801,2007/4/4,PP,2007,K01B,
N4B,N4B,56.775,140.293,2007/4/4,PP,2007,N04B,
N1B,N1B,120.68,298.206,2007/4/9,PP,2007,N01B,
N2B,N2B,118.78,293.511,2007/4/20,PP,2007,N02B,
R1B,20D/4H,39.797,98.34,2007/4/20,PP,2007,R01B,
R1A,20A/3B3UA,48.66,120.241,2007/4/20,PP,2007,R01A,
1D,1D,41.55,102.67,2007/4/20,PP,2007,001D,
2D,2D,48.41,119.62,2007/4/20,PP,2007,002D,
SpB,4D/WB,35.74,88.31,2007/4/30,PP,2007,0SpB,
SpA,4C,8.82,21.795,2007/4/30,PP,2007,0SpA,
4F,4F,16.37,40.44,2007/4/30,PP,2007,004F,
2C,2C,22.95,56.72,2007/4/30,PP,2007,002C,
SuB,SuB,15.63,38.62,2007/7/26,PP,2007,0SuB,
SuA,10C/3U3BC,22.86,56.49,2007/7/26,PP,2007,0SuA,
K1A,K1A,113.89,281.428,2008/2/29,PP,2008,K01A,
HQA,HQA,12.28,30.344,2008/3/10,PP,2008,0HQA,
HQB,HQB,14.92,36.868,2008/3/10,PP,2008,0HQB,
HQC,HQC,17.483,43.201,2008/3/12,PP,2008,0HQC,
N4A,N4A,99.196,245.118,2008/3/12,PP,2008,N04A,
N2A,N2A,101.215,250.107,2008/3/12,PP,2008,N02A,
C3SA,SA,102.08,252.245,2008/3/13,PP,2008,S00A,
C3A,C4A,48.728,120.41,2008/3/13,PP,2008,C04A,
C3SB,SB,226.265,559.112,2008/3/13,PP,2008,S00B,
C3SC,SC,127.023,313.88,2008/3/13,PP,2008,S00C,
C3B,C1B,63.69,157.381,2008/3/13,PP,2008,C01B,
C3B,C4A,2.902,7.17,2008/3/13,PP,2008,C04A,
C3C,C1B,21.815,53.906,2008/3/13,PP,2008,C01B,
C3C,C1C,81,200.155,2008/3/13,PP,2008,C01C,
C1A,C4D,93.78,231.73,2008/3/13,PP,2008,C04D,
FA,FA,11.09,27.404,2008/3/14,PP,2008,00FA,
FB,FB,11.18,27.626,2008/3/14,PP,2008,00FB,
WA,WA,11.62,28.72,2008/3/14,PP,2008,00WA,
WB,WB,12.33,30.46,2008/3/14,PP,2008,00WB,
R1B,20D/4H,39.797,98.34,2008/3/19,PP,2008,R01B,
K2A,K2A,66.1,163.336,2008/3/19,PP,2008,K02A,
K1B,K1B,105.138,259.801,2008/3/19,PP,2008,K01B,
K1B,K4B,76.118,188.092,2008/3/19,PP,2008,K04B,
Nature Trail,Nature Trail,60.65,149.869,2008/3/25,PP,2008,NATRSW,
C1SB,Texas Hog Pasture,69.81,172.51,2008/3/28,PP,2008,TXHP,
Nature Trail,Nature Trail,41.22,101.857,2008/3/28,PP,2008,NATRNE,
N1A,N1A,33.83,83.596,2008/4/1,PP,2008,N01ANE,
HQD,HQD,28.25,69.807,2008/4/4,PP,2008,0HQD,
2B,2B,6.08,15.02,2008/4/14,PP,2008,002B,
SpA,4C,8.82,21.795,2008/4/14,PP,2008,0SpA,
SpB,4D/WB,35.74,88.31,2008/4/14,PP,2008,0SpB,
N1B,N1B,120.68,298.206,2008/4/22,PP,2008,N01B,
N1A,N1A,60.03,148.322,2008/4/22,PP,2008,N01ASW,
1D,1D ,41.55,102.67,2008/4/24,PP,2008,001D,
R1A,20A/3B3UA,48.66,120.241,2008/4/24,PP,2008,R01A,
Belowground Plots,Belowground Plots,1.45,3.58,2008/4/29,PP,2008,LTERBG,
1B,1B/WA,35.89,88.69,2008/4/29,PP,2008,001B,
2A,2A,27.96,69.1,2008/4/29,PP,2008,002A,
R20A,1A,26.332,65.068,2008/4/30,WU,2008,R20A,
R20B,1C,12.315,30.431,2008/5/5,PU ,2008,R20B,
FA,FA,11.09,27.404,2008/12/12,PP,2008,00FA,
FB,FB,11.18,27.626,2008/12/12,PP,2008,00FB,
WB,WB,12.33,30.46,2009/2/4,PP,2009,00WB,
WA,WA,11.62,28.72,2009/2/4,PP,2009,00WA,
HQB,HQB,14.92,36.868,2009/3/4,PP,2009,0HQB,
HQA,HQA,12.28,30.344,2009/3/4,PP,2009,0HQA,
C1A,C4D,93.78,231.73,2009/3/6,PP,2009,C04D,
C3C,C1B,21.815,53.906,2009/3/6,PP,2009,C01B,
C3C,C1C,81,200.155,2009/3/6,PP,2009,C01C,
C3B,C1B,63.69,157.381,2009/3/6,PP,2009,C01B,
C3B,C4A,2.902,7.17,2009/3/6,PP,2009,C04A,
C3SC,SC,127.02,313.873,2009/3/6,PP,2009,S00C,
C3SB,SB,226.265,559.112,2009/3/6,PP,2009,S00B,
C3A,C4A,48.728,120.41,2009/3/6,PP,2009,C04A,
C3SA,SA,102.076,252.235,2009/3/6,PP,2009,S00A,
HQ Restoration Plots,Restoration Plots,2.424,5.991,2009/3/14,PP,2009,0HQR,
N1A,N1A,33.83,83.596,2009/3/17,PP,2009,N01ANE,
K4A,K4A,53.16,131.361,2009/3/17,PP,2009,K04A,
K1B,K1B,105.138,259.801,2009/3/25,PP,2009,K01B,
C1SB,Texas Hog Pasture,69.81,172.51,2009/3/25,PP,2009,TXHP,
N1A,N1A,60.03,148.322,2009/4/7,PP,2009,N01ASW,
N1B,N1B,120.68,298.206,2009/4/7,PP,2009,N01B,
N4D,N4D,135.45,334.704,2009/4/7,PP,2009,N04D,
N2B,N2B,118.78,293.511,2009/4/7,PP,2009,N02B,
K1A,K1A,113.89,281.428,2009/4/8,PP,2009,K01A,
Nature Trail,Nature Trail,101.87,251.726,2009/4/14,PP,2009,NATR,
R1B,20D/4H,39.797,98.34,2009/4/17,PP,2009,R01B,
1D,1D,41.55,102.67,2009/4/17,PP,2009,001D,
2D,2D,48.41,119.62,2009/4/17,PP,2009,002D,
2C,2C ,22.95,56.72,2009/4/17,PP,2009,002C,
SpB,4D/WB,35.74,88.31,2009/4/21,PP,2009,0SpB,
Belowground Plots,Belowground Plots,1.45,3.58,2009/4/21,PP,2009,LTERBG,
SpA,4C,8.82,21.795,2009/4/22,PP,2009,0SpA,
R1A,20A/3B3UA,48.66,120.241,2009/4/22,PP,2009,R01A,
1B,1B/WA,35.89,88.69,2009/4/22,PP,2009,001B,
4B,4B,54.5,134.67,2009/4/22,PP,2009,004B,
HQC,HQC,17.483,43.201,2009/4/23,PP,2009,0HQC,
SuB,SuB,15.63,38.62,2009/7/27,PP,2009,0SuB,
SuA,10C/3U3BC,22.86,56.49,2009/7/27,PP,2009,0SuA,
FB,FB,11.18,27.626,2009/11/11,PP,2009,00FB,
FA,FA,11.09,27.404,2009/11/11,PP,2009,00FA,
WA,WA ,11.62,28.72,2010/2/18,PP,2010,00WA,
WB,WB,12.33,30.46,2010/2/18,PP,2010,00WB,
K1A,K1A,113.89,281.428,2010/3/2,PP,2010,K01A,
Nature Trail -Restoration,Restored - NT Head,2.775,6.858,2010/3/2,PP,2010,.,
C3SA,SA,102.076,252.235,2010/3/3,PP,2010,S00A,
C3A,C3A,48.728,120.41,2010/3/3,PP,2010,C04A,
C3SB,SB,226.265,559.112,2010/3/3,PP,2010,S00B,
C3SC,SC,127.02,313.873,2010/3/3,PP,2010,S00C,
HQA,HQA,12.28,30.344,2010/3/4,PP,2010,0HQA,
AL,Brome Field N of N,.,.,2010/3/4,PP,2010,.,
Cottage Hill,Cottage Hill,.,.,2010/3/4,PP,2010,CTHL,
Nature Trail,Nature Trail,101.87,251.726,2010/3/17,PP,2010,NATR,
N1A,N1A,93.855,231.92,2010/3/17,PP,2010,N01A,
HQB,HQB,14.919,36.866,2010/3/18,PP,2010,0HQB,
HQC,HQC,17.483,43.201,2010/3/18,PP,2010,0HQC,
HQ Restoration Plots,Restoration Plots,2.424,5.991,2010/3/18,PP,2010,0HQR,
K2A,K2A,66.1,163.336,2010/3/31,PP,2010,K02A,
K1B,K1B,105.138,259.801,2010/3/31,PP,2010,K01B,
K1B,K4B,76.118,188.092,2010/3/31,WU,2010,K04B,
N1B,N1B,120.683,298.214,2010/4/3,PP,2010,N01B,
HQD,HQD,28.25,69.807,2010/4/4,PP,2010,0HQD,
C1SB,Texas Hog Pasture,69.81,172.51,2010/4/8,PP,2010,TXHP,
N4C,N4C,77.842,192.351,2010/4/8,PP,2010,N04C,
N2A,N2A,101.215,250.107,2010/4/8,PP,2010,N02A,
C1A,C4D,93.78,231.73,2010/4/17,PP,2010,C01A,
Belowground Plots,Belowground Plots,1.45,3.58,2010/4/19,PP,2010,LTERBG,
4A,4A,18.84,46.56,2010/4/20,PP,2010,004A,
1D,1D,41.55,102.67,2010/4/20,PP,2010,001D,
2B,2B/10B,14.4,35.59,2010/4/20,PP,2010,002B,
R1A,20A/3B3UA,48.66,120.241,2010/4/20,PP,2010,R01A,
R1B,20D/4H,39.797,98.34,2010/4/20,PP,2010,RO1B,
SpA,4C/10A,33.355,82.422,2010/4/20,PP,2010,0SpA,
SpB,4D/WB,35.74,88.31,2010/4/20,PP,2010,0SpB,
1B,1B/WA,35.89,88.69,2010/5/1,PP,2010,001B,
2A,2A,27.96,69.1,2010/5/1,PP,2010,002A,
FA,FA,11,27,2010/11/18,PP,2010,00FA,
FB,FB,11,27,2010/11/18,PP,2010,00FB,
WB,WB,12.33,30.46,2011/2/18,PP,2011,00WB,
WA,WA,11.62,28.72,2011/2/18,PP,2011,00WA,
Nature Trail -Restoration,Restored - NT Head,2.775,6.858,2011/3/3,PP,2011,.,
HQB,HQB,14.919,36.866,2011/3/3,PP,2011,0HQB,
HQA,HQA,12.28,30.344,2011/3/3,PP,2011,0HQA,
K1A,K1A,113.89,281.428,2011/3/12,PP,2011,K01A,
N1A,N1A,33.83,83.596,2011/3/23,PP,2011,N01ANE,
N4B,N4B,56.775,140.293,2011/3/24,PP,2011,N04B,
C1A,C4D,93.78,231.73,2011/3/24,PP,2011,C01A,
C3B,C3B,66.59,164.547,2011/3/24,PP,2011,C03B,
N1A,N1A,60.03,148.322,2011/4/12,PP,2011,N01ASW,
C3SA,SA,102.076,252.235,2011/4/12,PP,2011,S00A,
N1B,N1B,120.683,298.214,2011/4/13,PP,2011,N01B,
N2B,N2B,118.78,293.511,2011/4/13,PP,2011,N02B,
4F,4F,16.37,40.44,2011/4/13,PP,2011,004F,
2C,2C,22.95,56.72,2011/4/13,PP,2011,002C,
K1B/K4B,K1B,181.665,448.905,2011/4/17,PP,2011,K01B,
C1SB,Texas Hog Pasture,76.36,188.69,2011/4/17,PP,2011,C1SB,
White Pasture,White Pasture,166.82,412.22,2011/4/18,PP,2011,WHIT,
Nature Trail,Nature Trail,101.87,251.726,2011/4/18,PP,2011,NATR,
Belowground Plots,Belowground Plots,1.45,3.58,2011/4/23,PP,2011,LTERBG,
SpB,4D/WB,35.74,88.31,2011/4/26,PP,2011,0SpB,
SpA,4C/10A,33.355,82.422,2011/4/26,PP,2011,0SpA,
R1B,20D/4H,39.797,98.34,2011/4/26,PP,2011,RO1B,
1B,1B/WA,35.89,88.69,2011/4/26,PP,2011,001B,
1D,1D,41.55,102.67,2011/4/26,PP,2011,001D,
2D,2D,48.41,119.62,2011/4/26,PP,2011,002D,
HQC,HQC,17.483,43.201,2011/4/28,PP,2011,0HQC,
R1A,20A/3B3UA,48.66,120.241,2011/5/2,PP,2011,R01A,
UN07,UN07,3.694,9.128,2011/7/20,WU,2011,UN07,
WA,WA,11.62,28.72,2011/7/20,WP,2011,00WA,
SuA,10C/3U3BC,6.858,16.946,2011/7/20,WU,2011,0SuA,
R20B,1C,5,12.36,2011/7/20,WU,2011,R20B,
4F,4F,16.37,40.44,2011/7/20,WP,2011,004F,
FB,FB,10.631,26.27,2011/7/20,WU,2011,00FB,
SuA,10C/3U3BC,16.002,39.541,2011/8/18,PP,2011,0SuA,
SuB,SuB,15.63,38.62,2011/8/19,PP,2011,0SuB,
K2A,K2A,66.1,163.336,2011/9/19,WU,2011,K02A,
K20A,K20A,83.13,205.418,2011/9/19,WU,2011,K20A,
FB,FB,10.631,26.27,2011/11/23,PP,2011,00FB,
FA,FA,11.089,27.401,2011/11/23,PP,2011,00FA,
WA,WA,11.62,28.72,2012/2/1,PP,2012,00WA,
WB,WB,12.33,30.46,2012/2/1,PP,2012,00WB,
Nature Trail -Restoration,Restored - NT Head,2.775,6.858,2012/2/2,PP,2012,.,
HQA,HQA,12.28,30.344,2012/3/9,PP,2012,0HQA,
HQB,HQB,14.92,36.868,2012/3/9,PP,2012,0HQB,
K2A,K2A,66.1,163.336,2012/3/9,PP,2012,K02A,
20C,20C/3B3UD,36.07,89.13,2012/3/15,PP,2012,020C,
R1B,20D/4H,39.797,98.34,2012/3/15,PP,2012,R01B,
HQD,HQD,28.25,69.807,2012/3/27,PP,2012,0HQD,
N4A,N4A,99.196,245.118,2012/3/27,PP,2012,N04A,
N2A,N2A,101.215,250.107,2012/3/27,PP,2012,N02A,
C3C,C3C,102.423,253.093,2012/3/28,PP,2012,C03C,
C3SC,SC,127.02,313.873,2012/3/28,PP,2012,C3SC,
C1A,C4D,93.78,231.73,2012/3/28,PP,2012,C01A,
N20A,N20A,82.98,205.048,2012/3/31,PP,2012,N20A,
K1B/K4B,K1B,181.665,448.905,2012/3/31,PP,2012,K01B,
N1A,N1A,60.03,148.322,2012/3/31,PP,2012,N01ASW,
K1A,K1A,113.89,281.428,2012/4/3,PP,2012,K01A,
AL,Brome Field N of N,19.54,48.29,2012/4/3,PP,2012,.,
K20A,K20A,83.13,205.418,2012/4/3,PP,2012,K20A,
Nature Trail,Nature Trail,33.076,81.733,2012/4/3,PP,2012,NATR,
N1A,N1A,33.83,83.596,2012/4/3,PP,2012,N01ANE,
Belowground Plots,Belowground Plots,1.45,3.58,2012/4/9,PP,2012,LTERBG,
C1SB,Texas Hog Pasture,76.36,188.69,2012/4/9,PP,2012,C1SB,
1D,1D,41.55,102.67,2012/4/9,PP,2012,001D,
White Pasture,White Pasture,166.82,412.22,2012/4/10,PP,2012,WHIT,
HQC,HQC,17.483,43.201,2012/4/11,PP,2012,0HQC,
HQ Restoration Plots,Restoration Plots,2.424,5.991,2012/4/11,PP,2012,0HQR,
N1B,N1B,120.683,298.214,2012/4/11,PP,2012,N01B,
AL,Brome Field N of K,35.38,87.42,2012/4/17,PP,2012,.,
2B,2B/10B,14.4,35.59,2012/4/17,PP,2012,002B,
R1A,20A/3B3UA,48.66,120.241,2012/4/17,PP,2012,R01A,
SpA,4C/10A,33.402,82.539,2012/4/17,PP,2012,0SpA,
SpB,4D/WB,35.74,88.31,2012/4/17,PP,2012,0SpB,
AL,Brome Field E of hay barn,6.857,16.94,2012/4/20,PP,2012,.,
HQ Restoration Plots,Restoration Plots,2.735,6.76,2012/4/20,PP,2012,0HQR,
1B,1B/WA,35.89,88.69,2012/4/21,PP,2012,001B,
2A,2A,28.3,69.94,2012/4/21,PP,2012,002A,
FA,FA,11.089,27.401,2012/11/14,PP,2012,00FA,
FB,FB,10.631,26.27,2012/11/14,PP,2012,00FB,
Nature Trail -Restoration,Restored - NT Head,2.775,6.858,2013/3/6,PP,2013,.,
WB,WB,12.33,30.46,2013/3/6,PP,2013,00WB,
WA,WA,11.62,28.72,2013/3/6,PP,2013,00WA,
HQC,HQC,17.483,43.201,2013/3/13,PP,2013,0HQC,
HQB,HQB,14.92,36.868,2013/3/13,PP,2013,0HQB,
HQA,HQA,12.28,30.344,2013/3/13,PP,2013,0HQA,
Nature Trail - North Hill,Nature Trail,33.076,81.732,2013/3/14,PP,2013,NATR,
